Wildlife,Name,Habitat,Status,Class,Region
Animal,African Penguin,Oceans and Coastline,Endangered,Birds,Africa
Animal,African Pygmy Falcon,Savanna,Stable,Birds,Africa
Animal,African Pygmy Goose,Rivers and Lakes,Stable,Birds,Africa
Animal,African Spurred Tortoise,"Desert, Savanna",Threatened,Reptiles,Africa
Animal,Agouti,Tropical Rainforest,Some Endangered,Mammals,"Central America, South America"
Animal,American Kestrel,"Desert, Oceans and Coastline, Prairie and Steppes, Rivers and Lakes, Scrubland",Stable,Birds,"Central America, North America, South America"
Animal,Anaconda,"Tropical Rainforest, Wetlands",Some Threatened,Reptiles,South America
Animal,Andean (Spectacled) Bear,"Prairie and Steppes, Temperate Forest and Taiga",Threatened,Mammals,South America
Animal,Andean Condor,"Mountains, Prairie and Steppes, Temperate Forest and Taiga, Tundra",Some Threatened,Birds,South America
Animal,Ant,"Desert, Island, Mountains, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Tundra, Wetlands",Stable,Insects,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, North America, South America"
Animal,Antelope,"Desert, Mountains, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Tundra, Wetlands",Some Endangered,Mammals,"Africa, Asia"
Animal,Armadillo,"Prairie and Steppes, Savanna, Wetlands",Some Threatened,Mammals,"Central America, North America, South America"
Animal,Australian Brush-turkey,"Scrubland, Tropical Rainforest",Stable,Birds,Australia and New Zealand
Animal,Axolotl,Rivers and Lakes,Endangered,Amphibians,North America
Animal,Babirusa,"Tropical Rainforest, Wetlands",Threatened,Mammals,Asia
Animal,Bald Eagle,"Oceans and Coastline, Rivers and Lakes, Wetlands",Threatened,Birds,North America
Animal,Bali Myna,"Savanna, Wetlands",Endangered,Birds,Pacific Islands
Animal,Banded Archer Fish,Rivers and Lakes,Stable,Ray-finned fishes,Australia and New Zealand
Animal,Bat,"Island, Mountains, Oceans and Coastline, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Tundra, Wetlands",Some Endangered,Mammals,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,Bat-eared Fox,Savanna,Stable,Mammals,Africa
Animal,Beautiful Sunbird,"Rivers and Lakes, Savanna, Wetlands",Stable,Birds,Africa
Animal,Bee,"Desert, Island, Mountains, Oceans and Coastline, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Wetlands",Some Endangered,Insects,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,Bee-eater,Savanna,Stable,Birds,Africa
Animal,Beetle,"Desert, Island, Mountains, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Tundra, Wetlands",Some Threatened,Insects,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,Binturong,Tropical Rainforest,Some Endangered,Mammals,Asia
Animal,Bird of Paradise (Bird),"Savanna, Temperate Forest and Taiga, Tropical Rainforest",Some Threatened,Birds,Australia and New Zealand
Animal,Boa,"Island, Rivers and Lakes, Savanna, Tropical Rainforest, Wetlands",Some Endangered,Reptiles,"Africa, Asia, Caribbean, Central America, North America, Pacific Islands, South America"
Animal,Bonobo,Tropical Rainforest,Endangered,Mammals,Africa
Animal,Bontebok,Oceans and Coastline,Some Threatened,Mammals,Africa
Animal,Bowerbird,Tropical Rainforest,Some Threatened,Birds,Australia and New Zealand
Animal,Brown Bear,"Desert, Mountains, Prairie and Steppes, Rivers and Lakes, Temperate Forest and Taiga, Tundra",Stable,Mammals,"Africa, Asia, Europe, Middle East, North America"
Animal,Burrowing Owl,Prairie and Steppes,Some Endangered,Birds,"Central America, North America, South America"
Animal,"Butterfly, Moth, and Skipper","Desert, Island, Mountains, Oceans and Coastline, Prairie and Steppes, Rivers and Lakes, Savanna, Scrubland, Temperate Forest and Taiga, Tropical Rainforest, Tundra, Wetlands",Some Endangered,Insects,"Africa, Asia, Australia and New Zealand, Caribbean, Central America, Europe, Middle East, North America, Pacific Islands, South America"
Animal,Caecilian,"Rivers and Lakes, Tropical Rainforest",Some Endangered,Amphibians,"Africa, Asia, Central America, South America"
Animal,California Condor,"Mountains, Oceans and Coastline, Scrubland",Endangered,Birds,North America
Animal,Camel,"Desert, Prairie and Steppes",Some Endangered,Mammals,Asia
