Wildlife,Name,Habitat,Priority Order,Habitat Notes,Degrees outside Ideal,Status,Class,Region
Plant,"Alula, Cabbage on a Stick",Island,1,Below,-11,Endangered,Magnoliopsida,Pacific Islands
Animal,Lord Howe Island Stick Insect,Island,1,Below,-11,Endangered,Insects,Australia and New Zealand
Animal,Galápagos Tortoise,Island,1,Below,-11,Endangered,Reptiles,South America
Animal,Panamanian Golden Frog,Tropical Rainforest,2,Below,-10,Endangered,Amphibians,South America
Animal,Okapi,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Africa
Animal,Siamang,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Asia
Animal,Orangutan,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Asia
Animal,Bonobo,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Africa
Animal,Coquerel's Sifaka,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Africa
Animal,Chimpanzee,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Africa
Animal,Rodrigues Flying Fox,Tropical Rainforest,2,Below,-10,Endangered,Mammals,Africa
Animal,Thick-billed Parrot,Temperate Forest and Taiga,3,Above,7,Endangered,Birds,Central America
Plant,Venus Flytrap,Wetlands,4,Above,4,Endangered,Magnoliopsida,North America
Animal,Nile Lechwe,Wetlands,4,Above,4,Endangered,Mammals,Africa
Animal,Axolotl,Rivers and Lakes,5,Above,1,Endangered,Amphibians,North America
Animal,Chinese Giant Salamander,Rivers and Lakes,5,Above,1,Endangered,Amphibians,Asia
Animal,Chinchilla,Mountains,5,Above,1,Endangered,Mammals,South America
Animal,Kiwi,Island,6,Below,-11,Some Endangered,Birds,Australia and New Zealand
Plant,Epiphyllum,Tropical Rainforest,7,Below,-10,Some Endangered,Magnoliopsida,"Central America, South America"
Animal,Poison Frog,Tropical Rainforest,7,Below,-10,Some Endangered,Amphibians,"Central America, South America"
Plant,Ginger,Tropical Rainforest,7,Below,-10,Some Endangered,Liliopsida,"Africa, Asia, Caribbean, Central America, South America"
Animal,Toucan,Tropical Rainforest,7,Below,-10,Some Endangered,Birds,"Central America, South America"
